titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Dust to Glory,English,None,2005,94 min,"Documentary, Action, Adventure","A documentary on the Baja 1000, an annual off-road race held in Baja, Mexico that attracts hundreds of racers, their souped-up machines, and thousands of fans.",Pelicula,https://filmzie.com/content/dust-to-glory-2005
Milltown Pride,English,English,2011,134 min,"Drama, Sport","Milltown Pride: A captivating evangelistic film, weaving nostalgia and timeless wisdom for modern audiences. Experience the charm of a bygone era, infused with poignant relevance.",Pelicula,https://filmzie.com/content/milltown-pride-2011
The Day After Stonewall Died,English,None,2013,14 min,"Drama, Short","After their dog's death, Boots urges his son Oscar to bury his grief. On July 4th, unexpected encounters disrupt their healing process.",Pelicula,https://filmzie.com/content/the-day-after-stonewall-died
Centaura,English,None,2020,16 min,"Short, Animation",Two tribes invoke the Deity Rudá to come celebrate the rite of love. They believe that Rudá comes from the clouds and that love is free from all prejudices.,Pelicula,https://filmzie.com/content/centaura-2020
Sirenetta & the Second Star,English,None,2017,47 min,"Animation, Family, Fantasy","Nettie, a former mermaid princess, embraces her destiny as she returns to the sea to aid lost mermaids in their battle against the treacherous Pirate Queen.",Pelicula,https://filmzie.com/content/sirenetta--the-second-star-2017
Where Cars Don't Dare,English,English,2010,66 min,"Documentary, History, Sport","Rediscover the gold rush trail in Mojave Desert on a thrilling dirt bike tour. 3 days, 460 miles, no roads. Unleash your adventure!",Pelicula,https://filmzie.com/content/where-cars-dont-dare-2010
King Lear,English,English,2017,232 min,"Drama, European Production","King Lear delves into love, power, and death, offering Shakespeare's message: ""Hold not the gods or heavens accountable for earthly horrors. Lay blame on human inhumanity.""",Pelicula,https://filmzie.com/content/king-lear
Can't Be Stopped,English,None,2022,74 min,Documentary,"Uncover the influential ""Can't Be Stopped"" graffiti crew's rise, guided by ""Skate,"" imprinting integrity and respect in Hollywood's streets.",Pelicula,https://filmzie.com/content/cant-be-stopped-2022
Life Cycle,English,English,2022,119 min,"Drama, Sci-Fi","Carl, a computer programmer living in isolated existence in the remains of his grandparents basement, has activated the culmination of the past several years of his life's work: An animatronic head, complete with artificial intelligence.",Pelicula,https://filmzie.com/content/life-cycle-2022
Ushba,English,None,2017,20 min,"Documentary, Sport","Samuel Anthamatten, Markus Eder, and Leo Slemett venture to remote Svaneti, Georgia. Their mission: climb Ushba, ski its first descent. Epic heli-skiing warms them up for the challenge.",Pelicula,https://filmzie.com/content/ushba-2017
Our Father,English,English,2014,21 min,"Short, Drama","An estranged father suffering from late stage dementia, in a fleeting moment, reveals to his son secrets that begin to heal a broken family.",Pelicula,https://filmzie.com/content/our-father-2014
Visit Alaska,English,English,2022,40 min,"Documentary, Short","Hike the northernmost state from the warmth of your home, where larger-than-life creatures and vistas await.",Pelicula,https://filmzie.com/content/visit-alaska-2022
Laughter Has No Color,English,English,2022,55 min,Documentary,"This documentary explores the first very Black Comedy Award show, the AHAAS. Created by Sir Frank Cooper the show was first put on in 1990. In 2021, there was a revival show. This is a tribute to Rudy Ray Moore and Eddie Murphy. These 2 Comedians along with Debbie Allen, Flip Wilson, Whoopi Goldberg, Reynaldo Rey and other entertainment legends were honored years ago at The very 1st Award Show for Black Comedians, The AAhA's Award Ceremony March 15th 1990.",Pelicula,https://filmzie.com/content/laughter-has-no-color-2022
Equality U,English,English,2008,90 min,Documentary,"At nearly 200 colleges you can be kicked out for being gay. A group of 33 young activists set out on a cross-country tour to confront anti-gay policies at conservative colleges. They face a daily onslaught of abuse, harassment and arrest.",Pelicula,https://filmzie.com/content/equality-u-2008
Egypt and Nubia: Sailing Lake Nasser,English,English,2023,111 min,Documentary,"Sail down the length of Lake Nasser with Curtis Woodside, exploring this forgotten area of the Nile in Egypt. Little-known Egyptian, and Nubian, temples, statues and holy sites will be seen along the way. You don't want to miss this.",Pelicula,https://filmzie.com/content/egypt-and-nubia-sailing-lake-nasser-2023
Scenes From a Gay Marriage,English,English,2012,83 min,"Comedy, Drama, Romance",A recently single man finds solace in his upstairs neighbors' seemingly perfect relationship - until he suspects one of them is cheating.,Pelicula,https://filmzie.com/content/scenes-from-a-gay-marriage-2012
Exposure,English,"English, Spanish",2015,3 min,"Horror, Short, Thriller, Mystery, European Production","A steamy photo shoot leads her to the darkroom, where she realizes she's not alone. Mystery awaits in the shadows.",Pelicula,https://filmzie.com/content/exposure
Strange Invaders,English,None,2001,8 min,"Animation, Short, Comedy, Fantasy, Sci-Fi","In their quest to conceive, Doris and Roger encounter an otherworldly surprise. Chaos ensues as the child-like creature wreaks havoc, raising questions of escape, dreams, and a foreboding future.",Pelicula,https://filmzie.com/content/strange-invaders
Red Earth,English,None,2023,63 min,Sci-Fi,"Red Earth imagines a world in the late Anthropocene, where large parts of Earth have become inhospitable to life. The story follows three generations of Martians, from the first colonists to the first expedition to return to an Earth decimated by interplanetary war.",Pelicula,https://filmzie.com/content/red-earth-2023
Robinson Crusoe,English,English,1954,89 min,"Adventure, Drama, Family","The classic story of Robinson Crusoe, a man who is dragged to a desert island after a shipwreck.",Pelicula,https://filmzie.com/content/robinson-crusoe-1954
Nintendo Quest,English,English,2015,91 min,"Documentary, Adventure, Family","Embark on a thrilling Nintendo adventure as two enthusiasts journey across the open road, aiming to collect all 678 official retail-licensed games within 30 days, without relying on online purchases.",Pelicula,https://filmzie.com/content/nintendo-quest-2015
The Unearthing 3D (Anaglyph Presentation),English,"German, English",2015,53 min,"Family, Horror, Mystery","A girl moves with her father to Stillwater, Minnesota for the summer. She meets two misfit kids and together they seek to give a ghost closure as something dark festers between the lines.",Pelicula,https://filmzie.com/content/the-unearthing-3d-anaglyph-presentation-2015
Dos,Unknown,English,2011,96 min,"Drama, Fantasy, Romance, European Production","Witness the breathtakingly filmed and exquisitely performed love story in reverse, DOS. Greek and Spanish with English subtitles. Audience awards, mesmerizing soundtrack, and compelling press reviews.",Pelicula,https://filmzie.com/content/dos
Witchmas,English,English,2020,70 min,Animation,"When Selma the Wicked Witch enlists an arrogant little elf named Grumper and his pet dragon Grus to transform Christmas into a whole new holiday known the world over as Witchmas, it sparks mayhem on the eve of the big day. Enter the ever-vigilant ELF Detective Agency - Jingle, Bingle, Tingle, Dorabelle and Cheer - to save the day in Witchmas.",Pelicula,https://filmzie.com/content/witchmas-2020
Surrounded,English,None,2013,10 min,"Documentary, Short, Biography, European Production","The heart of the tale is a vinyl pressing plant, where a machine becomes the protagonist, conveying its unique story through every motion and sound.",Pelicula,https://filmzie.com/content/surrounded
Special Delivery,English,None,1978,7 min,"Animation, Comedy, Short","Alice Phelps asks Ralph to clear the snowy walkway before his work, but he ignores her. Later, he discovers the postman's body on the icy stairs. Now, Ralph faces a predicament when his wife returns.",Pelicula,https://filmzie.com/content/special-delivery
Coffin,English,None,2011,85 min,"Crime, Horror, Mystery","Jack Samms' evening started normal enough. But then the mysterious masked stranger, known as Trick, pays him a visit. Within minutes, Jack is faced with a ticking clock after Trick reveals that Jack's estranged wife and her lover are buried in a wooden box - and will be out of oxygen in 75 minutes. With two cops hot on his trail, Jack must try to avoid being framed for his wife's murder while under Trick's constant watch. When a pay-off to Trick goes wrong, Jack must engage in a dangerous game of cat and mouse with the masked stranger in order to save his wife... and himself.",Pelicula,https://filmzie.com/content/coffin-2011
Rival,English,None,2023,89 min,Horror,"After the murder of a fellow classmate, 17-year-old Erin Sawyer must face the revelation that someone very close to her is responsible for the murder spree happening in her hometown of Redwood Springs.",Pelicula,https://filmzie.com/content/rival-2023
Santa World: Christmas Bedtime Stories,English,English,2018,70 min,Animation,"This Christmas fly through the north pole and into SANTALAND where Santa is ready to tell a cozy Christmas story to all his reindeer pals. Featuring classic Christmas tales including The Birds Christmas, Christmas under the snow, and many more. Get the fire going and enjoy a memorable Christmas with loveable stories for the whole family.",Pelicula,https://filmzie.com/content/santa-world-christmas-bedtime-stories-2018
Confessions of a Producer,English,English,2020,95 min,Romance,"A cursed producer seeks a cure from a reporter who despises him. A modern-day Beauty and the Beast meets ""When Harry Met Sally"" with a touch of ""The X-Files"" in jail.",Pelicula,https://filmzie.com/content/confessions-of-a-producer-2020
