titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Egyptian Secrets at Pompeii,English,English,2021,41,Documentary,"Come along with Curtis Ryan Woodside as he investigates the Egyptian influence, treasures and mysteries that reside in the cataclysmic site of Pompeii.",Pelicula,https://filmzie.com/content/egyptian-secrets-at-pompeii-2021
A Man Doing Man Things,English,French,2019,14,"Short, Documentary","In Cedar City, Aaron Ray questions the values and behavior of the American man. Throughout his present and his past, we see the portrait of a drag performer in his thirties looking for the fundamentals of the modern man and the definition of the word ""masculinity"".",Pelicula,https://filmzie.com/content/a-man-doing-man-things-2019
Finding Callaro,English,English,2017,79,Animation,"The once beautiful Planet Kepler is now dry and near destruction after its precocious Callaro plant was exploited to extinction. Three brave space kids - Axel, Jono and Gaga - embark on a daring mission to rebuild their desolate planet.",Pelicula,https://filmzie.com/content/finding-callaro-2017
What Women Want: Gay Romance,English,No contiene subtitulos,2020,48,"Documentary, Romance","Women are the overwhelming majority of writers, publishers, readers and fans of gay male romance novels. Dive into the Gay Rom Lit convention in Albuquerque, New Mexico to discover why.",Pelicula,https://filmzie.com/content/what-women-want-gay-romance-2020-0
24 Hours,Chinese,English (embedded),2015,16,Short,"Inspired by the diaries left by Miao-jin QIU (1969–1995), Taiwan’s most renowned lesbian writer, the story begins with twenty-four hours in the life of Mai, a young expatriate writer. She shuts herself in her apartment while writing the last chapter of her novel Last Words. ",Pelicula,https://filmzie.com/content/24-hours-2015
In the Starlight,English,English,2018,49,Adventure,"Experience Paul Zizka's captivating quest to capture the world's starriest skies in ""In the Starlight."" A mesmerizing journey of life, love, and cosmic exploration.",Pelicula,https://filmzie.com/content/in-the-starlight-2018
The Disparition,Spanish,"English, Portuguese",2021,56,Documentary,"In northern Peru, deep in the Amazonian jungle, Amadeo is the last man to speak Taushiro. He is old, his body is tired, he knows he will die soon. We follow him in his solitude and his rituals.",Pelicula,https://filmzie.com/content/the-disparition-2021
Koko,English,English,2021,99,"Comedy, Drama, Romance","Experience the extraordinary journey of Randy, a financial guru, who finds solace and unconditional love in his faithful companion, Koko the dog.",Pelicula,https://filmzie.com/content/koko-2021
Surrender at Crow Lake,English,English,2014,10,"Short, Drama, Thriller","Leon, seeking peace, reflects on past events in a remote area. But an unexpected dilemma unravels nearby, challenging his quest for tranquility.",Pelicula,https://filmzie.com/content/surrender-at-crow-lake-2014
True Women,English,English,1997,181,"Action, Adventure, Biography","Experience the epic saga of courage, love, and unwavering female resilience across decades of 19th-century upheaval, from the Texas Revolution to the fight for women's suffrage in ""True Women.""",Pelicula,https://filmzie.com/content/true-women-1997
Tunnelrat,English,English,2008,17,"Drama, War, Short, European Production","Amidst World War I, two enemy soldiers find themselves trapped in a tunnel beneath the frontlines. Their survival hinges on an unlikely alliance.",Pelicula,https://filmzie.com/content/tunnelrat-2008
Daring Desires,Spanish,English (embedded),2023,26,"Drama, Thriller, Comedy","A compilation of short films: The Card, Neck Slap, Never. From innocent love notes in '97 to a father's fateful mistake and the village gossip about mysterious newcomers, explore human connections in this compelling trilogy of nostalgia, regret, and curiosity.",Pelicula,https://filmzie.com/content/daring-desires-2023
Friend of the World,English,"English, Spanish, Hindi, Japanese, Korean, Portuguese, Russian",2020,50,"Horror, Comedy, Sci-Fi, Thriller","After a catastrophic global war, a young filmmaker awakens in the carnage and seeks refuge in the only other survivor: an eccentric, ideologically opposed figure of the US military. Together, they brave the toxic landscape in search of safety and answers.",Pelicula,https://filmzie.com/content/friend-of-the-world-2020
Deep Dark,English,English,2015,78,"Fantasy, Horror","When an aspiring sculptor discovers a talking hole in the wall that creates award-winning art, a unique love story unfolds between them.",Pelicula,https://filmzie.com/content/deep-dark-2015
Available,English,"English, Spanish",2016,72,"Drama, Thriller","James Kane, lured by an ex's invite to Oktoberfest in Germany, faces haunting espionage threats from his past. Survival hinges on battling inner demons.",Pelicula,https://filmzie.com/content/available-2016
Sex And Buttered Popcorn: Story Of The Hollywood Exploiteers,English,English,2001,74,Documentary,"Low-budget American cinema: ""Forbidden Daughters,"" ""The Road to Ruin,"" ""Hollywood Script Girl."" Interviews: Friedman, Sonney, Babb. Shorts: ""Striptease Revealed,"" ""They Wear No Clothes!,"" ""Who Is That Star?,"" ""Square Up"" reel.",Pelicula,https://filmzie.com/content/sex-and-buttered-popcorn-story-of-the-hollywood-exploiteers-2001
Condemned to Hell,Spanish,"English, Spanish",2016,73,Horror,"Four friends, Xenesis, Crazzy, Hugo and Joel, celebrate their high school graduation, with plans to leave the town they live in and follow their dreams.",Pelicula,https://filmzie.com/content/condemned-to-hell-2016
Fear of Clowns,English,English,2004,106,"Horror, Thriller",An artist plagued by coulrophobia is terrorized by a murderous clown resembling her own paintings. A chilling battle of fear unfolds.,Pelicula,https://filmzie.com/content/fear-of-clowns-2004
Iceland in Winter,English,English,2018,29,Documentary,"Iceland is one of the wildest places on earth. You could be caught up in the midst of snowstorms and blizzards, but you are never alone. Although tourists from all over the world have started a silent invasion, nature keeps on winning. A smartphone film.",Pelicula,https://filmzie.com/content/iceland-in-winter-2018
Instructions On How To Make a Mannequin,Italian,No contiene subtitulos,2020,8,"Drama, Short, European Production","The oppressive and silently rigid atmosphere created by his parents pushes the son to suppress his homosexuality in order to please them and not suffer their rejection. Their personalities based on the appearance and the absence of the soul makes them live like ""mannequins"".",Pelicula,https://filmzie.com/content/instructions-on-how-to-make-a-mannequin-2020
Mind Fuck,French,English (embedded),2017,6,"Drama, Short, European Production","In this psychological drama, Alex meets Liam for a domination game.  Alex will have to face his greatest fear.",Pelicula,https://filmzie.com/content/mind-fuck-2017
Riding With Sunshine,English,English,2017,10,Short,"Inspired by true events, this gripping short film follows friends Vikki (Kristian Comer) and Mario (Rahiem Wilson Morgan) as their ordinary day takes an abrupt and devastating turn.",Pelicula,https://filmzie.com/content/riding-with-sunshine-2017
Remittance,English,English,2015,89,"Drama, Family","When Marie takes a job as a maid in Singapore to support her family in the Philippines, she trades one set of hardships for another. Betrayed by her husband, she begins to build a new life for herself. As she gets caught up in the new life she is building for herself in Singapore, she needs to choose between her personal aspirations and her family responsibilities.",Pelicula,https://filmzie.com/content/remittance-2015
Mary Loss of Soul,English,English,2014,89,"Drama, Horror, Mystery","Mary's soul is missing, leaving her family terrified. As a malevolent spirit haunts them, they must find her soul before it's too late. Stream ""Unbecoming"" to unravel the haunting mystery.",Pelicula,https://filmzie.com/content/mary-loss-of-soul-2014
The Storyteller,English,English,2018,89,"Drama, Family, Fantasy",The love of an enchanted young girl brings wonder and healing to a broken family.,Pelicula,https://filmzie.com/content/the-storyteller-2018
The Point,English,English,1971,75,"Animation, Adventure, Family","A father reads his son a bedtime story about young Oblio, who is banished from the fantastical kingdom of pointed heads and things for having no point.",Pelicula,https://filmzie.com/content/the-point-1971
Limbus,English,"English, Spanish",2017,15,"Horror, Romance, Drama, Short","During the winter months in their quaint home, Alex and Vera experience strange occurrences that are seemingly nonsensical. The veil of surreality becomes lifted through a visceral and sobering revelation.",Pelicula,https://filmzie.com/content/limbus-2017
Travis: The True Story Of Travis Walton,English,English,2015,80,Documentary,"Travis Walton shares his personal experience of the widely renowned UFO abduction in 1975, reflecting upon the profound and enduring impact it has had on his life throughout the four decades that followed.",Pelicula,https://filmzie.com/content/travis-the-true-story-of-travis-walton-2015
